bucket_month,event_type,developer_id,developer_name,repo_artifact_namespace,project_id,relationship_type
2024-10-01,COMMIT_CODE,xR2hPdRLEiEN5xtMjVA+bZ0ktTmBO+D/i5T2T0kcU7M=,bmzig,across-protocol,PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,BUILDER
2024-09-01,COMMIT_CODE,xR2hPdRLEiEN5xtMjVA+bZ0ktTmBO+D/i5T2T0kcU7M=,bmzig,across-protocol,PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,BUILDER
2025-03-01,COMMIT_CODE,1qj9I0uSW8qgcIKxLjaBKYnmu5Y9pFCbTGqPrLvSOaQ=,ramiechaarani,coop-records,iaCxomKbziHx/iiLlm9VAiA7rBKvS2KVUXZm9hL2hh8=,BUILDER
2024-08-01,COMMIT_CODE,YJJDoK0yk/gfJeXGYFVdilG7+UFr27LUz6oMzvFrbCY=,romanagureev,curvefi,obhZmsogKPwIoJqhhqsTg2tpVPoLJYjA5mOUzEKtSLs=,BUILDER
2025-04-01,COMMIT_CODE,7XsWBO3wUEj9OHsfuejyy1n0mahTvN806z6I4ciKPfU=,djb15,wormhole-foundation,/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,BUILDER
2025-02-01,COMMIT_CODE,7XsWBO3wUEj9OHsfuejyy1n0mahTvN806z6I4ciKPfU=,djb15,wormhole-foundation,/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,BUILDER
2024-09-01,COMMIT_CODE,Y58Boc2QyP6dKOjBwTrWbQneW5vT8rvg6FISVvofees=,walmat,rainbow-me,kqujZQziAKlmF1hZHKciuM4kcUp+XOn5Fo/d+VZMa2E=,BUILDER
2024-11-01,COMMIT_CODE,Y58Boc2QyP6dKOjBwTrWbQneW5vT8rvg6FISVvofees=,walmat,rainbow-me,kqujZQziAKlmF1hZHKciuM4kcUp+XOn5Fo/d+VZMa2E=,BUILDER
2019-05-01,ISSUE_COMMENT,7ax+HohrXRDAftlBw7gujJOfmKD2m0guC6TlQOIG0J8=,mrtenz,ethers-io,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,DEVTOOL
2024-04-01,ISSUE_OPENED,rNIx1ZUSCVJUGMnsxJ2poeQcnDPUVmJNyx+s96vh+G4=,0xtekgrinder,vyperlang,wZrWrLFXX5iFOMmy/iwbo5/zjo/o68H6jud5u9sxawM=,DEVTOOL
2022-11-01,ISSUE_COMMENT,KkMojRlum5qpaLIuSqOdYXp/asNN/UCuYKaEXcTX0RE=,defidebauchery,snapshot-labs,uqohyEHaJE/DosOj9+gh3jGny1Nes5mzs2fqeCoIjFw=,DEVTOOL
2023-05-01,ISSUE_COMMENT,6xYXxyXF1RFR2uJpXAHbqYWv4S7yrrH91S+xO48gJT8=,hellwolf,ethereum,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,DEVTOOL
2023-07-01,PULL_REQUEST_REVIEW_COMMENT,6xYXxyXF1RFR2uJpXAHbqYWv4S7yrrH91S+xO48gJT8=,hellwolf,ethereum,TzX0BMlslDkdd45L1PJQePW0M+Tc0kQ0SqLdKkBGIwo=,DEVTOOL
2021-02-01,ISSUE_OPENED,6xYXxyXF1RFR2uJpXAHbqYWv4S7yrrH91S+xO48gJT8=,hellwolf,protofire,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,DEVTOOL
2024-01-01,ISSUE_COMMENT,6xYXxyXF1RFR2uJpXAHbqYWv4S7yrrH91S+xO48gJT8=,hellwolf,nomicfoundation,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,DEVTOOL
2024-10-01,ISSUE_OPENED,yIGEs8Y4pnKOLdmWbt1GYYgr2camrDQbgZXY1UU25nY=,mcoetzee,wevm,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,DEVTOOL
2024-05-01,COMMIT_CODE,QcWhf3MPyto72LiUtISgMOiAiCgWNmfpYnwUwmuyqZE=,h3xept,lifinance,6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,BUILDER
2024-09-01,COMMIT_CODE,QcWhf3MPyto72LiUtISgMOiAiCgWNmfpYnwUwmuyqZE=,h3xept,lifinance,6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,BUILDER
2024-04-01,COMMIT_CODE,auT892Z87LMJsLLkskT3Vwk/Q4Rd5ZQ5SiSSJi1b26U=,matt5346,ovnstable,oi4zl2ydWVbAZWhnjbwNApnTmSk++LGqMoLt4LCYE4A=,BUILDER
2024-08-01,COMMIT_CODE,wr0rc0PZrJW9XyS/28Qgjq7siadqIJzju4FJ2E/ZQGM=,ameeshaagrawal,socketdottech,1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,BUILDER
2025-01-01,COMMIT_CODE,wr0rc0PZrJW9XyS/28Qgjq7siadqIJzju4FJ2E/ZQGM=,ameeshaagrawal,socketdottech,1XmrMwdqgUb8jliAn9nIScPx7fAicOqIFPW42ioD1x0=,BUILDER
2024-10-01,COMMIT_CODE,ai5u1MxwxVmHcVpsrPzO5w1zGmro4UovSM+POaHXTIc=,toprince,woonetwork,SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,BUILDER
2025-02-01,COMMIT_CODE,ai5u1MxwxVmHcVpsrPzO5w1zGmro4UovSM+POaHXTIc=,toprince,woonetwork,SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,BUILDER
2025-01-01,COMMIT_CODE,ai5u1MxwxVmHcVpsrPzO5w1zGmro4UovSM+POaHXTIc=,toprince,woonetwork,SknvJ1fKqsEjRQTERy44BdTmY67lcFa3Yg9AHT5MwxQ=,BUILDER
