onchain_builder_project_id,devtooling_project_id,dependency_source
M7mj4E6rVNxqX6O3QbNNaworQ4q/zn9J1XKeZ4Ch2lY=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
obhZmsogKPwIoJqhhqsTg2tpVPoLJYjA5mOUzEKtSLs=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
vGHpRnoaZG9BpR+Sk1ap0GUbUt9krOrqctweiHaM4rc=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
k2yKacP1bWm7Kb+gqwS+X3TUSPr/fk406J7H+MdgO+Q=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
v2QgByGF4okeRHMJmWN3tqZMxciee/qI2eeSPKK19gk=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
SIoNRfJjZLggEx5EQh0PpIOHxsUr1CAMkth1qolKAkk=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
UC5tcNndmH8tCdnc342+GHveHm2UcUu0bRRWa1afnXw=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
5uZFQH9IOekf6/GyA0E9dfbJwIRCmUIbU7Leycl0s4Y=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
L1FGc2AIMWcbDulPkpgzndWnljElZEAxxr+jPOdn0WQ=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
RtKY/jR/ZQZcFZ3+6BIol7NCIenNffgO59/55hceklc=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
ckq4jTDZI8VgQseutflTvtvIG5SawYliPbHPn3thsIw=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
MhGlk8E5mHyFD0WtdrjTXKY+be+00GhxWASP1V/Aieg=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
alZvUDiUBdpoVk1+Dic4H15CS2YQUlrkJv1xOFrNLa8=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
2Ie3pEkBr3DrOo3nMSfWQt4EuX4qLHGCpWQ9Us5cLys=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
3w5F55uqpaNFRoyfSg9GZYpbSTlbOlgLBVFVf9E7ta0=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
49lgX7xjp9BnBrzidaf0MzU+rjE9Cngu19rrBakzXzk=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
cB6xCF6VMi8svvr0TBAONVzJR2Q0oaBi4ir93rwxBMI=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
